Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.9401728259982
FDW14,OUT017,1387.574450858548
NCN55,OUT010,623.8935446446342
FDQ58,OUT017,2495.3251752023716
FDY38,OUT027,6353.1211986845055
FDH56,OUT046,1899.888052791609
FDL48,OUT018,598.6999364612177
FDC48,OUT027,2368.0792522625857
FDN33,OUT045,1511.6930287806333
FDA36,OUT017,3216.996537574038
FDT44,OUT017,1884.8245382137602
FDQ56,OUT045,1365.9235609090492
NCC54,OUT019,593.0063421762519
FDU11,OUT049,2085.5477996400623
DRL59,OUT013,826.8886488955392
FDM24,OUT049,2441.711784435917
FDI57,OUT045,3130.8466038980646
DRC12,OUT018,2258.9081442365987
NCM42,OUT027,2986.3963649561124
FDA46,OUT010,549.6886677756701
FDA31,OUT013,2879.8528869006955
NCJ31,OUT035,3884.05246864306
FDG52,OUT046,783.0470658023805
NCL19,OUT019,308.505440735869
FDS10,OUT035,2932.595036731192
FDX22,OUT010,618.4867823404453
NCF19,OUT035,781.5946098723635
NCE06,OUT046,2544.608327621847
DRC27,OUT046,3006.602367679538
FDE21,OUT035,2009.5840941911315
NCR42,OUT019,47.8912067521149
FDX51,OUT018,2908.7451677894032
NCR06,OUT018,669.2437535614146
FDU31,OUT027,5549.322019826152
FDU59,OUT017,2702.1485643883766
FDR03,OUT027,5561.387358646137
FDS49,OUT027,2316.4399044208876
FDD48,OUT010,361.1564215000186
NCF18,OUT017,3099.2385163723584
NCD43,OUT027,2673.6712894596026
NCD54,OUT018,1918.3305368506951
FDY19,OUT010,385.04816285853474
NCY54,OUT017,2896.9791796862764
NCL19,OUT018,2204.437775398518
FDP23,OUT010,605.2898535141976
FDC26,OUT013,1844.507492608891
FDR14,OUT010,179.26777729851727
NCS41,OUT035,3217.960929920499
FDF41,OUT035,3986.887887540074
FDU34,OUT046,2059.460205949028
DRH11,OUT046,914.444402652326
FDM03,OUT013,1640.0344132214723
FDS31,OUT017,2886.7305189984822
FDJ20,OUT017,2078.541830737213
FDV44,OUT027,5150.352920934602
FDG02,OUT049,3239.277533638392
FDA09,OUT013,2962.718851467808
FDT04,OUT013,696.9054842467381
FDL58,OUT019,560.9461669043357
FDE52,OUT045,1407.6788784087112
FDW12,OUT035,2449.6436998918653
FDL51,OUT017,3404.7327986487867
NCY42,OUT027,3312.1887742727085
FDR07,OUT017,1533.3439187301321
FDN40,OUT045,2401.868926549309
FDB35,OUT027,2514.782465209314
FDA22,OUT017,2765.2423156118098
NCL06,OUT046,3787.2758698689136
FDI35,OUT013,2894.1880595387015
NCW42,OUT045,3460.130473051886
NCX06,OUT049,2996.355161286384
FDC37,OUT027,2696.4980072741873
FDZ14,OUT018,1942.068052301257
DRG49,OUT049,4094.317858487741
NCG06,OUT045,3640.774406127032
DRC36,OUT045,2871.3476170648
FDV21,OUT019,314.56193514173555
FDB53,OUT046,2401.868926549309
DRP47,OUT019,635.0936976529374
FDA14,OUT013,2434.7058155330674
DRC24,OUT035,2485.2139552416197
FDW21,OUT018,1467.3145374865876
NCH29,OUT046,1469.3584239046118
FDU58,OUT013,3148.4657456449318
FDY27,OUT017,2918.0798008972174
FDV56,OUT035,1685.1012675323004
FDT59,OUT046,3854.9883525334994
FDB23,OUT046,3725.2359140502053
FDR49,OUT045,755.5253970238583
FDB03,OUT010,670.9220725579692
FDN39,OUT045,2726.462583319437
FDX02,OUT027,5796.742626171186
FDQ16,OUT027,2696.4980072741873
FDU35,OUT018,1440.7080481492558
NCT29,OUT013,2110.3699935237587
FDZ27,OUT046,857.9522882910487
FDN57,OUT017,2151.9563471474717
FDA03,OUT018,2198.1366270586273
FDZ36,OUT045,3193.68648756675
NCU05,OUT013,1354.1364757545698
FDT39,OUT018,2239.3298320330855
FDK60,OUT017,1526.4662866323451
FDZ25,OUT017,2847.943385446497
FDG12,OUT046,2100.6534109234863
DRB01,OUT019,334.51354437816616
NCC43,OUT027,6147.974272969673
FDX13,OUT019,631.9274396433335
FDM22,OUT049,871.844473034297
FDJ03,OUT027,1375.6000302639432
FDU14,OUT018,3831.4862344845465
FDB33,OUT010,437.18299568090544
FDP27,OUT046,3123.968971800278
FDO38,OUT010,303.08980646281543
FDE28,OUT027,6290.281315015821
FDO27,OUT035,1537.3083915820057
DRL23,OUT027,2647.686282410422
FDS28,OUT046,918.3283237241538
FDX24,OUT013,1434.5174750804063
FDZ02,OUT035,1614.8501452516564
FDL46,OUT045,1899.888052791609
FDS60,OUT027,4697.016659881284
NCO06,OUT017,697.9310449066382
FDO16,OUT035,1418.30613253137
FDC60,OUT049,1388.2020669072974
FDA48,OUT018,3116.4137223145485
FDZ36,OUT027,5262.297441837549
FDK27,OUT045,2100.6534109234863
FDW23,OUT018,504.6627291516505
FDM14,OUT018,1530.5391874355403
FDM14,OUT013,1666.4349246794618
FDW60,OUT018,2671.9002216318204
FDE21,OUT013,1846.7838085131568
NCM42,OUT035,1773.7047091859245
FDY59,OUT010,342.7168525578521
DRI49,OUT049,1296.2310444851842
FDT28,OUT019,385.13206771111817
FDQ22,OUT018,504.6627291516505
FDR60,OUT049,1275.2428265362616
FDC50,OUT019,252.47681313921757
FDV24,OUT013,2427.8281834352806
DRF48,OUT010,634.055162819688
FDQ47,OUT046,647.9143332634588
DRN36,OUT049,1526.528986537427
NCY06,OUT035,2117.8503373423373
FDE52,OUT035,1441.1184791132616
NCB54,OUT045,2069.552177784001
NCF31,OUT035,2407.2941027170787
FDJ08,OUT027,5142.895380394382
NCC07,OUT017,1617.8907041483142
NCD19,OUT027,1662.2730511469385
FDL46,OUT049,1940.4006234325425
FDM20,OUT045,3939.059264844405
NCI06,OUT010,448.4470808522454
DRM11,OUT035,4001.415444687433
NCH07,OUT018,2318.6282028205683
FDS23,OUT013,2145.078715049685
FDO49,OUT018,598.6999364612177
FDS35,OUT049,1044.114628794028
